Project Definition,WBS Element,Sales Document,Sales Document Item,Order,Material,Order Quantity,Cumul.confirmed qty Required deliv. qty
M1-22041,M1-22041.4300003938,1100000459,10,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,20,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,30,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,40,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,50,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,60,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,70,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,80,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,90,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,100,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,110,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,120,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,130,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,140,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,150,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,160,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,170,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,180,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,190,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,200,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,210,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,220,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,230,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,240,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,250,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,260,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,270,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,280,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,290,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,300,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,310,,SERVICE_IMS_AU,1,AU
M1-22041,M1-22041.4300003938,1100000459,320,,SERVICE_IMS_AU,1,AU
